date,point,lat,long,elev,live,height,width1,width2,species,repro,notes,plant
8/19/21,SN001,43.3002538542,-116.9901874201,1310.473,1,39,45.5,31.3,ARTR,5,,1
8/19/21,SN002,43.3004152954,-116.9902730477,1310.055,1,39.8,33,25.5,ARTR,41,,1
8/19/21,SN003,43.3004451789,-116.9899732749,1309.684,1,48.2,30,26,ARTR,19,,1
8/19/21,SN004,43.3004826164,-116.9899070634,1309.555,1,40.5,43.5,31,ARTR,21,,1
8/19/21,SN005,43.3004943614,-116.9899070661,1309.498,1,31.3,21,24,ARTR,9,,1
8/19/21,SN006,43.3004948585,-116.9899040404,1309.511,1,28.5,31,25,ARTR,3,,1
8/19/21,SN007,43.3006333743,-116.9898340208,1309.094,1,53.2,64.5,32.4,ARTR,48,,1
8/19/21,SN008,43.3005669744,-116.9898195834,1309.282,1,29.7,28.5,27,ARTR,0,,1
8/19/21,SN009,43.3004674683,-116.9898217958,1309.523,1,27.5,25,19,ARTR,25,,1
8/19/21,SN010,43.3006023899,-116.9894570584,1308.99,1,39,40.5,28.5,ARTR,26,,1
8/19/21,SN011,43.3011084901,-116.9892519675,1307.823,1,34.6,26,31.5,ARTR,2,,1
8/19/21,SN012,43.3011082674,-116.9892423035,1307.819,1,17.5,16.3,15,ARTR,5,,1
8/19/21,SN013,43.3011158395,-116.9892385118,1307.787,1,15.2,23,16.5,ARTR,0,,1
8/19/21,SN014,43.3011276405,-116.9892242569,1307.767,1,22.2,9,7.8,ARTR,0,,1
8/19/21,SN015,43.3008247968,-116.9890061665,1308.197,1,48,60,28,ARTR,27,,1
8/19/21,SN016,43.3007921266,-116.9889649083,1308.195,1,39.5,34,19.8,ARTR,12,,1
8/19/21,SN017,43.3008816247,-116.9889414414,1308.036,1,42.5,28,18.5,ARTR,2,,1
8/19/21,SN018,43.3009167104,-116.988900771,1307.943,1,31,19.4,15,ARTR,0,,1
8/19/21,SN019,43.3009189222,-116.988897045,1307.903,1,12.8,14,12.5,ARTR,1,,1
8/19/21,SN020,43.3009283385,-116.9888799256,1307.901,1,32.5,26.5,24.4,ARTR,1,,1
8/19/21,SN021,43.3009521048,-116.9889134374,1307.874,1,34.5,25.5,23,ARTR,3,,1
8/19/21,SN022,43.3009582669,-116.9889278549,1307.877,1,20,16,15.5,ARTR,1,,1
8/19/21,SN023,43.3009634229,-116.9889175235,1307.841,1,16.4,11.5,8.5,ARTR,0,,1
8/19/21,SN025,43.3009664502,-116.9889164744,1307.838,1,22,14,13.5,ARTR,0,,1
8/19/21,SN026,43.3009676443,-116.9889166674,1307.837,1,34.2,28,19.5,ARTR,2,,1
8/19/21,SN027,43.3010799067,-116.9889782516,1307.692,1,26.7,19.5,18,ARTR,0,,1
8/19/21,SN028,43.301091567,-116.9889805244,1307.649,1,17.7,19.5,16,ARTR,2,,1
8/19/21,SN029,43.3011116685,-116.9889917637,1307.596,1,16,12,7.5,ARTR,0,,1
8/19/21,SN030,43.3012297048,-116.9891650984,1307.548,1,13.5,12.5,6,ARTR,0,,1
8/19/21,SN031,43.3011684539,-116.9892518313,1307.706,1,17,9,7.5,ARTR,0,,1
8/19/21,SNL1a,43.3005031723,-116.9895936741,1309.32,NA,NA,NA,NA,start1,NA,,0
8/19/21,SNL1b,43.3007467921,-116.9897537828,1308.795,NA,NA,NA,NA,end1,NA,,0
8/19/21,SN034,43.3005549893,-116.9896176454,1309.215,1,34.2,31,21,ARTR,9,,1
8/19/21,SNL2a,43.3006209341,-116.9895093884,1309.041,NA,NA,NA,NA,start2,NA,,0
8/19/21,SNL2b,43.300855176,-116.9896940202,1308.519,NA,NA,NA,NA,end2,NA,,0
8/19/21,SNL3a,43.3007087091,-116.9894200883,1308.77,NA,NA,NA,NA,end3,NA,,0
8/19/21,SNL3b,43.3009572063,-116.9895622913,1308.262,NA,NA,NA,NA,start3,NA,,0
8/19/21,SNL4a,43.3008190095,-116.9891002761,1308.302,NA,NA,NA,NA,start4,NA,,0
8/19/21,SNL4b,43.3010468509,-116.9892978396,1307.98,NA,NA,NA,NA,end4,NA,,0
